ID,CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
C0001,Infractions entrainant la mort,2015-07-05 00:00:00,soir,46,301001.510007,5051309.40499,45.6016777507,-73.5486926833
C0002,Infractions entrainant la mort,2015-11-06 00:00:00,soir,8,290959.719002,5033906.50001,45.4449528402,-73.6769260449
C0003,Infractions entrainant la mort,2016-12-05 00:00:00,nuit,49,304576.399005,5055022.12201,45.6350960394,-73.5028680349
C0004,Infractions entrainant la mort,2016-11-09 00:00:00,soir,3,278187.655997,5040625,45.5050384522,-73.8405583618
C0005,Infractions entrainant la mort,2015-09-03 00:00:00,soir,39,294647.813,5053380.5,45.6202502032,-73.6301834195
C0006,Infractions entrainant la mort,2016-03-24 00:00:00,nuit,42,297124.188004,5049266.50001,45.5832631313,-73.5983637379
C0007,Infractions entrainant la mort,2015-02-11 00:00:00,nuit,30,297649.945,5046689.088,45.5600763813,-73.5915885898
C0008,Infractions entrainant la mort,2015-01-25 00:00:00,nuit,20,299101.342007,5040012.55801,45.5000118188,-73.5729192723
C0009,Infractions entrainant la mort,2015-12-18 00:00:00,nuit,12,298426.956994,5039110.049,45.491884818,-73.5815368842
C0010,Infractions entrainant la mort,2016-06-06 00:00:00,jour,13,295100.006,5032359.385,45.4311008243,-73.6239687039
C0011,Infractions entrainant la mort,2016-10-11 00:00:00,soir,13,297608.656001,5032299.5,45.4305922437,-73.5919066119
C0012,Infractions entrainant la mort,2016-08-19 00:00:00,soir,12,298505.553008,5039407.551,45.4945625844,-73.5805351412
C0013,Infractions entrainant la mort,2015-04-07 00:00:00,soir,39,294972.625,5050492.49999,45.5942679461,-73.625960128
C0014,Infractions entrainant la mort,2015-10-21 00:00:00,soir,23,301769.779005,5044788.96101,45.5430084919,-73.5388038517
C0015,Infractions entrainant la mort,2016-04-10 00:00:00,soir,30,295277.371,5046133.995,45.5550530658,-73.6219691957
C0016,Infractions entrainant la mort,2016-12-04 00:00:00,soir,49,303699.447001,5055876.84599,45.6427861935,-73.5141182567
C0017,Infractions entrainant la mort,2016-11-17 00:00:00,soir,9,292365.656,5035447,45.4588414171,-73.6589923879
C0018,Infractions entrainant la mort,2017-03-09 00:00:00,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
C0019,Infractions entrainant la mort,2016-07-27 00:00:00,nuit,21,299939.919,5041312.574,45.5117162551,-73.5622018412
C0020,Infractions entrainant la mort,2015-02-11 00:00:00,nuit,49,303516.397,5052507.905,45.6124713639,-73.5164576088
C0021,Infractions entrainant la mort,2015-02-16 00:00:00,soir,16,299427.530997,5034362,45.449168037,-73.5686836107
C0022,Infractions entrainant la mort,2015-07-07 00:00:00,nuit,26,293775.27101,5040432.523,45.5037269992,-73.6410802511
C0023,Infractions entrainant la mort,2015-11-14 00:00:00,soir,3,275641.747998,5038775.792,45.4882970412,-73.8730278181
C0024,Infractions entrainant la mort,2016-06-21 00:00:00,soir,48,304091.016003,5049931.61201,45.5892899939,-73.5090864365
C0025,Infractions entrainant la mort,2016-11-03 00:00:00,soir,20,299478.228,5040771.999,45.506848567,-73.5681049319
C0026,Infractions entrainant la mort,2015-03-10 00:00:00,nuit,42,296445.344003,5049181.5,45.5824904552,-73.6070614968
C0027,Infractions entrainant la mort,2015-05-30 00:00:00,jour,26,294802.625011,5041423.145,45.5126564921,-73.6279537302
C0028,Infractions entrainant la mort,2016-10-10 00:00:00,nuit,21,299702.811,5041778.579,45.5159078652,-73.5652413157
C0029,Infractions entrainant la mort,2016-09-14 00:00:00,nuit,20,298790.620009,5039874.63099,45.4987680853,-73.576893537
C0030,Infractions entrainant la mort,2015-02-25 00:00:00,jour,38,296605.096008,5042722.865,45.5243753914,-73.6049061597
C0031,Infractions entrainant la mort,2015-04-17 00:00:00,nuit,27,294223.730996,5046420.08001,45.5576121444,-73.6354707384
C0032,Infractions entrainant la mort,2015-05-18 00:00:00,soir,7,290286.272,5042910.036,45.5259566966,-73.6858010976
C0033,Infractions entrainant la mort,2015-09-18 00:00:00,soir,45,298545.307993,5055414.076,45.6385947906,-73.5802312692
C0034,Infractions entrainant la mort,2015-12-15 00:00:00,soir,44,300340.653003,5044891.71701,45.5439254451,-73.5571056215
C0035,Infractions entrainant la mort,2015-05-27 00:00:00,soir,21,300355.612002,5041767.58,45.5158133581,-73.5568857138
C0036,Infractions entrainant la mort,2015-12-21 00:00:00,soir,30,296292.935995,5046315.486,45.5566993296,-73.6089646619
C0037,Infractions entrainant la mort,2016-06-02 00:00:00,jour,27,293332.621999,5048486.28699,45.5761903877,-73.6469333235
C0038,Infractions entrainant la mort,2016-06-20 00:00:00,soir,49,305499.39401,5055372.62901,45.6382496619,-73.4910286671
C0039,Infractions entrainant la mort,2016-09-14 00:00:00,nuit,9,292076.156,5036623.5,45.4694228877,-73.6627245343
C0040,Infractions entrainant la mort,2015-02-26 00:00:00,soir,30,296735.553002,5046224.17099,45.5558829139,-73.6032938055
C0041,Infractions entrainant la mort,2015-05-22 00:00:00,jour,35,295832.306992,5043693.575,45.5331006872,-73.6148166838
C0042,Infractions entrainant la mort,2016-08-16 00:00:00,jour,10,288531.426,5042770.513,45.5246624732,-73.7082614209
C0043,Infractions entrainant la mort,2016-10-02 00:00:00,soir,26,294808.613,5038376.774,45.4852440695,-73.6278150558
C0044,Infractions entrainant la mort,2015-10-29 00:00:00,jour,39,295479.487998,5052190.55699,45.6095544731,-73.6194959746
C0045,Infractions entrainant la mort,2015-12-26 00:00:00,nuit,30,294934.559008,5048109.55,45.5728249535,-73.626399901
C0046,Infractions entrainant la mort,2016-04-30 00:00:00,nuit,10,288242.107004,5043031.49299,45.5270040456,-73.7119739196
C0047,Infractions entrainant la mort,2017-01-05 00:00:00,nuit,13,295116.384,5033139.085,45.4381171954,-73.6237747255
C0048,Infractions entrainant la mort,2017-01-24 00:00:00,nuit,11,293385.951992,5036700.744,45.4701405986,-73.6459754782
C0049,Infractions entrainant la mort,2016-10-19 00:00:00,nuit,23,301031.577999,5045844.19299,45.552500243,-73.5482650942
C0050,Infractions entrainant la mort,2017-03-18 00:00:00,jour,46,298296.718,5051860.924,45.6066204223,-73.5833726195
C0051,Infractions entrainant la mort,2017-02-20 00:00:00,jour,22,301063.162003,5043191.98,45.5286348254,-73.5478403295
C0052,Introduction,2017-02-12 00:00:00,jour,1,277886.92201,5033071.585,45.4370588818,-73.8439930712
C0053,Introduction,2017-01-16 00:00:00,jour,48,302138.598005,5052222.594,45.6099001513,-73.5341213846
C0054,Introduction,2017-01-29 00:00:00,nuit,38,299269.622992,5041387.713,45.5123873931,-73.5707814791
C0055,Introduction,2017-01-29 00:00:00,jour,23,300991.791995,5045047.452,45.5453306688,-73.5487684638
C0056,Introduction,2017-02-26 00:00:00,soir,38,298195.147002,5042072.20401,45.5185373686,-73.5845425529
C0057,Introduction,2017-02-27 00:00:00,soir,23,300757.486998,5045148.61199,45.5462396223,-73.5517698419
C0058,Introduction,2017-03-10 00:00:00,soir,38,297361.689009,5042271.05401,45.5203183052,-73.5952138739
C0059,Introduction,2017-03-17 00:00:00,jour,7,286476.437991,5038703.49999,45.4880150786,-73.7344161029
C0060,Introduction,2017-03-17 00:00:00,soir,9,294472.096994,5037839.94501,45.480408549,-73.632108643
C0061,Introduction,2017-03-21 00:00:00,jour,20,299196.686994,5039721.08701,45.4973898097,-73.5716959228
C0062,Introduction,2017-03-29 00:00:00,soir,38,298195.147002,5042072.20401,45.5185373686,-73.5845425529
C0063,Introduction,2017-02-21 00:00:00,soir,38,299130.230006,5040703.565,45.5062300273,-73.5725576125
C0064,Introduction,2017-02-26 00:00:00,soir,38,298559.073997,5041837.197,45.5164260345,-73.579881276
C0065,Introduction,2017-02-26 00:00:00,soir,38,298195.147002,5042072.20401,45.5185373686,-73.5845425529
C0066,Introduction,2017-03-01 00:00:00,jour,16,298218.438008,5034098.5,45.44678659,-73.5841375577
C0067,Introduction,2017-03-09 00:00:00,nuit,22,301197.600003,5042764.593,45.5247897384,-73.5461160645
C0068,Introduction,2017-03-25 00:00:00,nuit,22,301197.600003,5042764.593,45.5247897384,-73.5461160645
C0069,Introduction,2017-01-01 00:00:00,nuit,3,275686.210998,5039736.976,45.4969478773,-73.8725160208
C0070,Introduction,2017-01-01 00:00:00,soir,39,294610.843,5049396.57,45.5844012649,-73.6305743065
C0071,Introduction,2017-01-04 00:00:00,jour,27,291345.361009,5045378.42001,45.5481892923,-73.6723107954
C0072,Introduction,2017-01-05 00:00:00,soir,11,296153.922,5036891.212,45.4718942712,-73.6105790428
C0073,Introduction,2017-01-12 00:00:00,jour,11,296164.783996,5036695.028,45.4701290508,-73.6104366758
C0074,Introduction,2017-01-13 00:00:00,soir,10,287294.883002,5043277.72399,45.5291965658,-73.7241089758
C0075,Introduction,2017-01-15 00:00:00,jour,30,297376.275999,5046243.07901,45.5560601805,-73.5950873771
C0076,Introduction,2017-01-16 00:00:00,nuit,39,294917.593997,5049776.5,45.5878244056,-73.6266509821
C0077,Introduction,2017-01-20 00:00:00,jour,15,296596.897008,5034355.98199,45.4490863923,-73.6048713211
C0078,Introduction,2017-01-22 00:00:00,soir,10,0,0,1,1
C0079,Introduction,2017-01-30 00:00:00,jour,23,301260.453006,5044931.22401,45.5442862243,-73.5453271126
